model,layer,layer_norm,hidden_size,participation_ratio,top10_var_frac,top50_var_frac
llama-3.2-3b,20,0.7142857142857143,3072,46.41807218288687,0.39443136331287754,0.6378190963218098
llama-3.2-3b,21,0.75,3072,44.58940379524903,0.4017657683879545,0.6475719134949894
llama-3.2-3b,22,0.7857142857142857,3072,36.15600552695122,0.4572985541147178,0.6765107313469636
llama-3.2-3b,23,0.8214285714285714,3072,33.90193377432826,0.46661441146180704,0.6775005870151395
llama-3.2-3b,24,0.8571428571428571,3072,23.33869919093669,0.5397470608650854,0.7151644903151662
llama-3.2-3b,25,0.8928571428571429,3072,21.680238337841757,0.5495417620924969,0.7150028312625686
llama-3.2-3b,26,0.9285714285714286,3072,20.233742185747985,0.5593646312720401,0.7167536354052021
llama-3.2-3b,27,0.9642857142857143,3072,14.510998981492678,0.6337129665316616,0.7595817611160709
llama-3.2-3b,28,1.0,3072,8.862458736591744,0.7456305342384489,0.8371291518625625
mistral-7b-v0.3,0,0.0,4096,3.3871197243005535,0.9001276620866232,0.9757936550458738
mistral-7b-v0.3,1,0.03125,4096,5.351481803912012,0.7649205157105556,0.8843352872193896
mistral-7b-v0.3,2,0.0625,4096,11.18238861841029,0.5791207965632694,0.7641330211811407
mistral-7b-v0.3,3,0.09375,4096,12.711849803149446,0.5786765990610706,0.7400924040433203
mistral-7b-v0.3,4,0.125,4096,24.72046155684795,0.4258828546480342,0.6047803765113996
mistral-7b-v0.3,5,0.15625,4096,33.56144034140403,0.370538366718382,0.5539749582439427
mistral-7b-v0.3,6,0.1875,4096,74.09585830050747,0.2634186291376932,0.4429138131943458
mistral-7b-v0.3,7,0.21875,4096,90.23765486761701,0.2416677998293347,0.4245211528259608
mistral-7b-v0.3,8,0.25,4096,125.71829087910774,0.2085592285119589,0.38668601886764453
mistral-7b-v0.3,9,0.28125,4096,158.92896322881103,0.19110021328047183,0.3700553201969279
mistral-7b-v0.3,10,0.3125,4096,146.48096225956473,0.19910646974709886,0.3787137158938715
mistral-7b-v0.3,11,0.34375,4096,148.081784688396,0.20059013705912218,0.3820947831229576
mistral-7b-v0.3,12,0.375,4096,145.84060247123904,0.20171114170989965,0.38866841507659067
mistral-7b-v0.3,13,0.40625,4096,138.96825288260214,0.20711032522370315,0.3957958217305258
mistral-7b-v0.3,14,0.4375,4096,141.05769095838372,0.20533059974521972,0.40017790606536224
mistral-7b-v0.3,15,0.46875,4096,137.561090331253,0.2066591128374492,0.4082843371990078
mistral-7b-v0.3,16,0.5,4096,135.0436835650871,0.21134145259521228,0.41932890928758676
mistral-7b-v0.3,17,0.53125,4096,115.68063600370408,0.23245639747634309,0.4473231437463998
mistral-7b-v0.3,18,0.5625,4096,96.61457360955104,0.2578078918786847,0.47674492704876925
mistral-7b-v0.3,19,0.59375,4096,66.50689295998163,0.3143804457459705,0.5340857592732275
mistral-7b-v0.3,20,0.625,4096,58.75642929904168,0.33987933904175316,0.5574204068376583
mistral-7b-v0.3,21,0.65625,4096,51.04937632443227,0.36485731126993454,0.5856608344995589
mistral-7b-v0.3,22,0.6875,4096,45.094813057404735,0.38864418192825684,0.6059585506313808
mistral-7b-v0.3,23,0.71875,4096,42.14441089551502,0.40155134300039413,0.6142010289854423
mistral-7b-v0.3,24,0.75,4096,34.55573820559293,0.4333647124334662,0.6383820013556111
mistral-7b-v0.3,25,0.78125,4096,33.45886581985064,0.440904560544259,0.6394015146503322
mistral-7b-v0.3,26,0.8125,4096,32.58465473062404,0.44994446109848296,0.6449459231649717
mistral-7b-v0.3,27,0.84375,4096,26.16128087572295,0.48433143504366055,0.6635312126861925
mistral-7b-v0.3,28,0.875,4096,24.883570373300405,0.4967112331467928,0.6714965999858006
mistral-7b-v0.3,29,0.90625,4096,24.37440991669526,0.5003694177829977,0.6716416142800972
mistral-7b-v0.3,30,0.9375,4096,20.365860354538242,0.5383725875721923,0.6943886508010879
mistral-7b-v0.3,31,0.96875,4096,17.115672772656737,0.5911653187021731,0.7279878335850541
mistral-7b-v0.3,32,1.0,4096,5.954750005013249,0.765300005106425,0.8565593787141881
qwen2.5-7b,0,0.0,3584,2.965548636403224,0.9252059104242416,0.9789624609822373
qwen2.5-7b,1,0.03571428571428571,3584,10.623729298387325,0.6224756520404774,0.8013216097536754
qwen2.5-7b,2,0.07142857142857142,3584,13.210640055772082,0.5927699491490641,0.7712256363232209
qwen2.5-7b,3,0.10714285714285714,3584,19.679284564388052,0.5155522167692563,0.720311036633456
qwen2.5-7b,4,0.14285714285714285,3584,29.389502496716787,0.42449167097257,0.6377464587982961
qwen2.5-7b,5,0.17857142857142858,3584,42.25573602848312,0.3617837646605733,0.5818277958992594
qwen2.5-7b,6,0.21428571428571427,3584,38.11296003152401,0.39508174916069444,0.6173473687570828
qwen2.5-7b,7,0.25,3584,36.120323568475385,0.38487612613987887,0.6085106071171674
qwen2.5-7b,8,0.2857142857142857,3584,69.48989293259284,0.28896540532490733,0.5091477057777049
qwen2.5-7b,9,0.32142857142857145,3584,92.56299715786916,0.25295446714262304,0.45827516360627363
qwen2.5-7b,10,0.35714285714285715,3584,96.11626576100572,0.2546112784356688,0.46140275058500324
qwen2.5-7b,11,0.39285714285714285,3584,95.46269611336204,0.2559848373319593,0.47556919012422333
qwen2.5-7b,12,0.42857142857142855,3584,105.1542327153181,0.24573853944798452,0.4652187381240665
qwen2.5-7b,13,0.4642857142857143,3584,98.42782074979158,0.2559916221827117,0.47394554377180415
qwen2.5-7b,14,0.5,3584,103.71622405397164,0.25011613065845656,0.47137779173143746
qwen2.5-7b,15,0.5357142857142857,3584,100.18936118756803,0.25931399532934274,0.4792435826862582
qwen2.5-7b,16,0.5714285714285714,3584,96.76411990948243,0.26474427241926,0.49217295006414963
qwen2.5-7b,17,0.6071428571428571,3584,95.33578267952463,0.26754441293320813,0.49316975683236963
qwen2.5-7b,18,0.6428571428571429,3584,85.72745738728655,0.28107604573170136,0.5064932038953344
qwen2.5-7b,19,0.6785714285714286,3584,78.65377918379129,0.2932298347242813,0.5346480273386528
qwen2.5-7b,20,0.7142857142857143,3584,57.870214337417316,0.34568400429156854,0.5963546353418684
qwen2.5-7b,21,0.75,3584,48.24146168426158,0.37915749557299067,0.6190027088894821
qwen2.5-7b,22,0.7857142857142857,3584,43.650874449866535,0.40057020565635204,0.6366745394348614
qwen2.5-7b,23,0.8214285714285714,3584,34.34694803435658,0.451172664646825,0.6638238499148053
qwen2.5-7b,24,0.8571428571428571,3584,31.41113760985853,0.4668036311890522,0.6655808972371642
