model,layer,layer_norm,nmi_lang_k6,nmi_concept_k6,nmi_lang_k3,nmi_concept_k3
mistral-7b-v0.3,3,0.09375,0.8515688017763413,0.0007591249077891495,0.543205770281514,0.00017280692152131383
mistral-7b-v0.3,4,0.125,0.8501233829361098,0.0007094442234531299,0.5440385844812708,0.00016442804639820152
mistral-7b-v0.3,5,0.15625,0.8520798529564662,0.0008211026410262264,0.5901746051716513,0.00011440028916095972
mistral-7b-v0.3,6,0.1875,0.848844384233177,0.00078415290463825,0.4892247882674981,0.0012648332965676838
mistral-7b-v0.3,7,0.21875,0.8222191662187577,0.0007935998429922905,0.5650491333946529,0.00015396453339015665
mistral-7b-v0.3,8,0.25,0.8011618235016693,0.0011657000436473305,0.46439963055140676,0.0018518681009044458
mistral-7b-v0.3,9,0.28125,0.71822722546816,0.0026017468250930935,0.4722271022353478,0.0007726451335863973
mistral-7b-v0.3,10,0.3125,0.5806055960055522,0.007048418221649875,0.38330571505215166,0.00257735402485822
mistral-7b-v0.3,11,0.34375,0.5873768629633689,0.029532198634098356,0.3815624192444869,0.026754390020625594
mistral-7b-v0.3,12,0.375,0.5979755304104875,0.02678267017051249,0.3735776993520571,0.02792123445593518
mistral-7b-v0.3,13,0.40625,0.43918820588946,0.02075044670900199,0.3728797136388059,0.021087725927016836
mistral-7b-v0.3,14,0.4375,0.31503513577529396,0.03306120091535037,0.35676331855691507,0.026536902140093955
mistral-7b-v0.3,15,0.46875,0.5861710692314989,0.01790407884463367,0.3708355728020416,0.019355440312279024
mistral-7b-v0.3,16,0.5,0.4376607433948124,0.016947361928494952,0.34547835974850033,0.013153803372728302
mistral-7b-v0.3,17,0.53125,0.47454588375044393,0.01171158990009647,0.3261068032122748,0.010055318266572527
mistral-7b-v0.3,18,0.5625,0.5626057332542592,0.008908300161816958,0.38031118718840273,0.00562412062348412
mistral-7b-v0.3,19,0.59375,0.7964808685577976,0.007374399910745882,0.6586494998172697,0.00018489364886447037
mistral-7b-v0.3,20,0.625,0.8132120561482135,0.006214598475616431,0.6529867904404602,0.00019322966929348744
mistral-7b-v0.3,21,0.65625,0.9237847433842149,0.0007455925224205971,0.6357205520247061,0.0009188781034467611
mistral-7b-v0.3,22,0.6875,0.8164386827338939,0.0036720159221860734,0.6741269668485099,0.00014822615920686484
mistral-7b-v0.3,23,0.71875,0.9107377960542757,0.0007203950991029883,0.6697950253184164,0.00021718785528262297
mistral-7b-v0.3,24,0.75,0.9478610774255259,0.00046718990459472954,0.6750274086793951,0.00022751906164745133
mistral-7b-v0.3,25,0.78125,0.972089515468602,0.00035489073520295907,0.6299053373379759,0.0002121367567026215
mistral-7b-v0.3,26,0.8125,0.9783773850542554,0.00030496865281633964,0.6282749650588205,0.00021039528966468207
mistral-7b-v0.3,27,0.84375,0.9810371154335712,0.0003079289127086327,0.6920828576652768,0.0002445208467437513
mistral-7b-v0.3,28,0.875,0.9871134415421068,0.00028778634440806115,0.6899082981027523,0.0003484993966766341
mistral-7b-v0.3,29,0.90625,0.874666617854144,0.0007342684799818475,0.6815338918522954,0.0003159641995022877
mistral-7b-v0.3,30,0.9375,0.9920433190767118,0.0002765847384600124,0.6392604603908186,0.00022563019120552574
mistral-7b-v0.3,31,0.96875,0.9948164000799248,0.0002553162369995159,0.7140510241016462,0.00024648318878592383
mistral-7b-v0.3,32,1.0,0.9906766614273812,0.0002762990664968346,0.6977237094678679,0.00022944071251818603
qwen2.5-7b,0,0.0,0.5333425363153572,0.0018153060250389874,0.5273944766046474,0.0005387648680917216
qwen2.5-7b,1,0.03571428571428571,0.8498831718323641,0.0009010525937987613,0.5802032815669905,0.00024657637807141286
qwen2.5-7b,2,0.07142857142857142,0.6770066693312623,0.0017800091600724288,0.45505497353550056,0.00010618603387733815
qwen2.5-7b,3,0.10714285714285714,0.8529174123271682,0.0007607987781688381,0.3294516344117794,0.0009100327693787546
qwen2.5-7b,4,0.14285714285714285,0.862244159944762,0.0007846572129067019,0.6840472595254073,6.768453933286382e-05
qwen2.5-7b,5,0.17857142857142858,0.8621877422381803,0.0007779911891088463,0.6855039385902397,4.2844882660752755e-05
qwen2.5-7b,6,0.21428571428571427,0.7380906356785968,0.000844324162472082,0.3354907961754129,0.0011285757654602557
qwen2.5-7b,7,0.25,0.8615127891224802,0.0007556861800640447,0.35566107462897784,0.0009732819123635949
qwen2.5-7b,8,0.2857142857142857,0.6605989391638629,0.0037675626626837246,0.603191971793662,0.00019069537115123185
qwen2.5-7b,9,0.32142857142857145,0.655580862924721,0.002606535659851224,0.6123427392009443,0.00022268383046889468
qwen2.5-7b,10,0.35714285714285715,0.6548574284033148,0.0023229077146962687,0.5905046232097166,0.0001818065782276332
qwen2.5-7b,11,0.39285714285714285,0.6520668643608276,0.0025817483280832975,0.29821901720782545,0.003868068948943227
qwen2.5-7b,12,0.42857142857142855,0.6041237838857988,0.0026057368403778446,0.3056316003510724,0.00402345456961314
qwen2.5-7b,13,0.4642857142857143,0.6130570755636006,0.0019335420072536594,0.6086550552766045,0.0002719233304359796
qwen2.5-7b,14,0.5,0.5669804555142817,0.0035541627618404055,0.6078317179778628,0.00027761037904681034
qwen2.5-7b,15,0.5357142857142857,0.5934612634688171,0.0066610263333810905,0.5946422857309237,0.0002810627686442416
qwen2.5-7b,16,0.5714285714285714,0.4726339795330812,0.011083492988343225,0.6042562466737393,0.0003277406988215651
qwen2.5-7b,17,0.6071428571428571,0.58689999642649,0.002142943796630869,0.59039281845954,0.0003452960710468192
qwen2.5-7b,18,0.6428571428571429,0.5324139525360541,0.00398255335503167,0.5521998775730855,0.00022826623426296723
qwen2.5-7b,19,0.6785714285714286,0.46592963138586924,0.0024160635539012764,0.5410673256421034,0.00033840693922459174
qwen2.5-7b,20,0.7142857142857143,0.6611903129474487,0.0016373480831630934,0.624724269705489,0.00029857348287088943
qwen2.5-7b,21,0.75,0.8780842130130349,0.0007896703921993149,0.6681124851833822,0.00034757186286910085
qwen2.5-7b,22,0.7857142857142857,0.9958114285872788,0.000271141984488744,0.6972568794113375,0.0003025899124896012
qwen2.5-7b,23,0.8214285714285714,0.8966053398855112,0.00025740986001515496,0.6858135852023878,0.00011918633672469544
qwen2.5-7b,24,0.8571428571428571,0.996858716099269,0.0002580180647286716,0.7132165028615881,0.00018343610766869138
qwen2.5-7b,25,0.8928571428571429,0.9959973522621373,0.00025746189629702164,0.7139961290985664,6.024293949224706e-05
qwen2.5-7b,26,0.9285714285714286,0.9960035338668057,0.00027424827202246477,0.6437226153572101,2.6501429115764385e-05
qwen2.5-7b,27,0.9642857142857143,0.9815852816301776,0.0002043594956425808,0.6190780342993418,9.636447330021814e-05
qwen2.5-7b,28,1.0,0.9917360939161103,0.0002639645627365689,0.6525261593901281,0.00014311381480318583
llama-3.1-8b,0,0.0,0.49502661056659414,0.0011164208351623988,0.5265063394039847,0.00026732193030621124
llama-3.1-8b,1,0.03125,0.5328568737448707,0.001383112566389283,0.544185633675644,0.0003458203784173217
llama-3.1-8b,2,0.0625,0.7035889144703744,0.0009540070447698359,0.5701083139887403,0.0002986284242585698
llama-3.1-8b,3,0.09375,0.8508206490066019,0.0009401023848832872,0.5931840478281517,0.00027882010001693716
llama-3.1-8b,4,0.125,0.8465838296816159,0.0009800500017616764,0.582802480868402,0.00019875518783399337
llama-3.1-8b,5,0.15625,0.6750958580288172,0.0018181123797234861,0.5928864766627969,0.0002082827851571182
llama-3.1-8b,6,0.1875,0.6621929595868734,0.001008336731738341,0.5706038353034653,0.0007805147079047207
llama-3.1-8b,7,0.21875,0.6307827039453322,0.0033937644225679633,0.49651412724247435,0.005524705379227774
llama-3.1-8b,8,0.25,0.3962772573121872,0.023495836751572966,0.26537247080898196,0.019720809608723036
llama-3.1-8b,9,0.28125,0.23288553784042043,0.03575119376718394,0.07014338201387454,0.035851093637841676
llama-3.1-8b,10,0.3125,0.15191846403669587,0.03729468274735278,0.15935283670450331,0.03505924045892156
llama-3.1-8b,11,0.34375,0.13171317995848533,0.050553721551483764,0.150255747487081,0.03867806106136618
llama-3.1-8b,12,0.375,0.13956310424053447,0.04670628362701188,0.15054400259473347,0.03985841433163981
llama-3.1-8b,13,0.40625,0.2130988239738249,0.054304238576036966,0.12386919144729121,0.053199244154072595
llama-3.1-8b,14,0.4375,0.15050994215661467,0.04649014754540273,0.17864515247600338,0.03984034360956581
llama-3.1-8b,15,0.46875,0.42984178770787906,0.031309233714066416,0.3149536896524185,0.026226184898601426
llama-3.1-8b,16,0.5,0.3753934071966875,0.017252985579872027,0.3137477864979419,0.020522970877564762
llama-3.1-8b,17,0.53125,0.45676846877158583,0.014234279500635307,0.32602144879082984,0.017026434209402846
llama-3.1-8b,18,0.5625,0.5882507002512488,0.014024900465242334,0.3270995320704685,0.013232482877346245
llama-3.1-8b,19,0.59375,0.7568323901093906,0.010788496217729258,0.5990685830213632,0.003928552011187406
llama-3.1-8b,20,0.625,0.7557827003511904,0.010120556520094668,0.5788145076926158,0.00039937810809016197
llama-3.1-8b,21,0.65625,0.9691666085456763,0.00027960172028023263,0.6871534099700233,0.0001809014512736197
llama-3.1-8b,22,0.6875,0.9782515617772509,0.00028079156569688817,0.6886083618009985,0.00016039559904422774
llama-3.1-8b,23,0.71875,0.9848235245622836,0.00029589469364311473,0.7153444059021493,0.00022619142117498022
llama-3.1-8b,24,0.75,0.9903652045656066,0.0002879224889990577,0.7163077478973319,0.00021628339948723854
llama-3.1-8b,25,0.78125,0.9903311568686141,0.00025158156127350295,0.7363845248413944,0.00017622719521399947
llama-3.1-8b,26,0.8125,0.9872337845882322,0.0002784695812246976,0.7012433331503907,0.00014957247505589908
llama-3.1-8b,27,0.84375,0.9903277244643234,0.0002630705546794138,0.7087381345810443,0.00017273200830692919
llama-3.1-8b,28,0.875,0.989471572048308,0.00026374851793657417,0.7106769710414242,0.00018119211318741308
llama-3.1-8b,29,0.90625,0.9878284531419019,0.0002689164585444701,0.7106769710414242,0.00018119211318741308
llama-3.1-8b,30,0.9375,0.9919685481043128,0.0002591867567670252,0.7137028019828692,0.00020084925638062256
llama-3.1-8b,31,0.96875,0.993880869377646,0.0002663775423932943,0.6315189796481734,0.00010352067497603315
llama-3.1-8b,32,1.0,0.9980904270254866,0.00027328741611162914,0.7174705175353426,0.00026609341765753054
